500 3049 2840.33 2830.67 958.667 880.667 890 640 569.667 587 458 402 438.333 432.667 396 392 323.333 282.667 268 245.333 249.333 183 215.667 282 119.333 238.667 413.333 65.3333
600 3082 2907 2939.33 976.667 890.667 923 664.333 585 616.333 479.667 439.333 428.667 473.667 416.667 427.667 361.667 324.333 309.333 285 302 210.333 269.333 364.333 145.667 328.333 572 76.6667
700 3348 3284.33 3237.67 1255.33 1187 1231.33 1021.33 891 952.667 694 616 645 519 468.667 458.667 404.667 365.333 336.333 338 370.667 250.333 333.333 468.333 165.333 424.667 749.333 91.3333
800 4194 3960 4263.33 1809.67 1667.67 1683.67 1143.33 1032.67 1082.67 854 709 750.333 601.333 531.333 530.667 470.667 442.667 397.667 403 451 273.667 415.667 615.333 191.333 550.333 981.667 111.333
900 4622.67 4435 4486 1748.67 1621.33 1617 1152.67 1017.67 1094.33 825 730.667 775.333 650.667 552.667 557.333 633.667 563.667 577.333 512.333 499.667 423.667 448.333 537 312 475.667 745.667 214
1000 4851.33 4748 4806 1932.67 1759.33 1818.33 1306.67 1165.33 1227.33 965 819.333 856.333 963 822.333 865.333 723 650.667 627.667 585 572.333 492.333 539 624 353 591.333 886.333 237
1100 5600 5372.67 5454 2065 1924.67 2045.67 1408.33 1205 1312.33 990.667 830.667 861 989.667 852 880 783.667 670.667 647.333 647.333 617.333 502.333 594 715 369.333 666.333 1044.67 257
1200 6001.33 5756.67 5812.33 2138.67 1933 1992 1469.67 1286.33 1363.33 1078.33 932.333 988.333 1091.67 949.667 983 849.667 718 688.333 683.667 687.333 560 665.333 782.333 399.333 747.333 1218.33 291.667
1300 6434 6160 6224.33 2197.33 2011.33 2053 1594.67 1376 1514.33 1199 1067 1168.67 1107 961 1022.67 890.667 804.333 771.667 742.333 783.667 583.333 741.667 952.333 440.333 898 1407.33 305.667
1400 6838.33 6679 6715 2961 2582 2679 2289 2079.67 2196 2726.33 4275.67 2807.67 2391.33 2853 2228.33 989.333 926.333 846.333 879.333 858 731 924.667 1143.33 528.333 1124.67 1757 352.333
1500 8801 17968.3 8344.33 3547.67 3281.67 3347.33 7971.33 2340.67 5943 2221.33 1645.33 1756 1531 1309.67 1330.67 1009.33 946 911.667 893 967.333 685 898.333 1197.67 532.333 1145 1914 354
1600 8595.33 8175 8282.33 3689 3357 3552 2383.33 2200.33 2349.33 1778.67 1554 1644 1396 1219.33 1229.33 1099.67 1028.67 959 983.333 1044 748 989.333 1349.33 546.667 1276.67 2117.33 379
1700 8966.67 8494.33 8643.67 3710.67 3419.33 3549 2548.33 2199.67 2379 1872.33 1574 1710.67 1421 1219.33 1345.67 1383.33 1202.33 1263.67 1159 1072.33 995.333 1038 1145.67 766 1069.33 1474.67 571
1800 9265 8855.67 8955 3836.33 3497.67 3650.67 2630.33 2348.67 2450 1920.67 1671 1807.67 1507.33 1292.67 1345 1515.33 1312.67 1351 1231 1147.67 1033.67 1115.67 1219 806 1165 1605 607.667
1900 9831 9400 9532.33 3907.33 3535.33 3698 2699 2360 2513.33 2002.33 1720.33 1836.67 1555.67 1346.33 1389.67 1562.67 1351.33 1394 1302.67 1211.67 1087.67 1184 1305.67 846 1282.67 1751 641.667
2000 10162 9739.67 9913 3968 3594.33 3759 2783.67 2435.67 2577.67 2068.33 1776.33 1892.67 2095.67 1787.33 1914.67 1642 1420 1454 1362.67 1284.33 1146 1266.33 1411 882.667 1371.33 1914 673
2100 10655.7 10210.3 10377.7 4079 3691 3859 2861.67 2502.67 2673.33 2145.33 1834 1971.33 2142 1836 1972.67 1706.67 1481.67 1522.67 1432.33 1354.33 1191.33 1341.67 1509.33 929.667 1475.33 2076.67 705
2200 11293.3 10813 11000 4175.33 3780.67 3939 2969.33 2572.67 2747.67 2235.67 1906.33 2052.67 2223.67 1899.67 2039.33 1768.33 1550.33 1582.33 1509.67 1438.67 1233.67 1421.33 1613.67 971.333 1564 2263.33 737.333
2300 11738 11326.3 11448.3 4273.67 3851 4022.67 3024 2618.67 2807 2334.33 2013.67 2160 2326 1989 2140.33 1870.67 1623 1644.67 1576 1509.67 1283.67 1500.67 1736.67 1017 1675.67 2447.67 771.667
2400 12110.7 11627 11634.3 4280.67 3835 4041.67 3065.33 2653 2825 2338.33 1987.33 2145.33 2349.67 2010.67 2119.67 1890.67 1666.33 1663 1658.67 1595.33 1299.67 1581.67 1891.33 1045.33 1795.67 2645 799
2500 12495 12076.3 12152.3 4408.67 3915 4157.33 3172.33 2704.33 2923.33 2431.33 2060 2229.33 2430 2075.33 2217 1933 1754.67 1726 1680 1671.67 1387.33 1667.67 1972.33 1093 1929 2832 843.333
2600 13092.7 12553.7 12760.7 4666.33 4173.33 4436 3466.67 2993 3204.67 2725.67 2377 2514.67 2519.67 2150.33 2277.67 2065.67 1813 1760.67 1777 1770 1444.67 1733.33 2085.67 1136.33 2023.33 3014 871
2700 13558.7 13049.3 13189 5290.67 4697.67 4921.33 4109.33 3651.67 3820 3414 2910.33 3109.33 2609.67 2213.33 2373.67 2108.33 1901 1849.33 1865 1850 1480.67 1839.33 2215.67 1182.33 2154 3229 909
2800 14168.7 13530.7 13715 5805 5229 5432.67 4627.67 4116 4400.33 3565.67 3073.33 3305.67 2738 2309.67 2429 2170.67 1981 1945.33 1918.33 1947 1549 1931.33 2338.33 1225.67 2285.33 3459 943.333
2900 14797.7 14199.3 14340 6326.67 5775 6014 4817.67 4244 4490 3501 3002.33 3283.33 2746 2352.33 2484 2252.33 2043.67 1961 2015.67 2020.33 1567 2002.33 2456.33 1264.67 2425.33 3692 970.667
3000 15166.3 14503.3 14681 6895 6248.33 6559.67 4941.67 4338 4579.33 3635 3073 3291.67 2839.33 2422.67 2557.33 2315 2124.33 2052.67 2105.33 2095 1640.33 2110 2615.33 1300 2555.33 3912.67 1006.33
3100 15765.3 21831.7 15719 7548.33 6862.33 7129.67 4988 4380.33 4703 3753 3187.67 3444.67 2892 2493.33 2665.33 2492.33 2226.67 2134 2200.67 2233.67 1718 2242 2736.67 1327.67 2726.33 4230.33 1110
3200 16823.3 16347 16410.7 7653 6924.33 7254 5229.67 4590.67 4867 3863.67 3289.33 3534.33 3039.33 2583.67 2728 2539 2253.67 2150 2261.33 2299 1737.33 2322.67 2879.67 1393 2864 4395.33 1068.33
3300 17306.3 16537.3 16736.7 7659.33 6978.33 7277.67 6326 4840.67 5185 4129.33 3537.67 3732.33 3109.67 2665 2829 3124.67 2637.33 2847.33 2590.33 2363.67 2232.67 2361.67 2419 1813 2410.33 3031.33 1430.67
3400 17438.3 16660 16840.7 7620.33 6957 7245 5329 4639.33 4986.67 4012 3374 3645 3179.33 2705.33 2837.67 3180.33 2720.67 2844.67 2650.67 2408 2275 2393.33 2490.67 1843 2514.67 3180.33 1474
3500 17842.7 17096 17276.3 7746.33 7004.67 7310.67 5406.33 4711.33 5049 4066.33 3455.67 3705.67 3245.67 2786.67 2909 3250.33 2802 2887.33 2705 2493 2353.67 2491.67 2615.67 1899.67 2596.67 3337.67 1513
3600 18405 17593.7 17899 7887.33 7057.67 7433 5512.33 4767 5127 4151.67 3505.33 3838 3308.67 2838 2981.33 3292.33 2854.67 2948.33 2809.67 2569 2429 2647.33 2744.33 1964.67 2696.33 3499.67 1568.67
3700 19075.3 18155.3 18468.3 8022.33 7266 7581.67 5678.67 4914.67 5242 4247.67 3599.67 3938 3429.33 2914.67 3055.67 3466.33 2928 3033.33 2904 2654 2452.67 2660.67 2810 2005 2803.33 3652 1613
3800 19486 18574.3 18890.3 8053.67 7273.33 7564.33 5733 4930.67 5308.33 4321.33 3655 3989.67 3514.33 2997 3073.67 3497.67 2976 3108 2950 2723.33 2545.67 2748.33 2929 2055.67 2925.33 3808 1650.33
3900 19999 19023.7 19316.7 8164 7330.67 7664.67 5812 5042.33 5370.67 4402.67 3726.67 4071.33 3959.33 3392.67 3609 3558.67 3055 3207 3015 2809.33 2600.33 2852.67 3021.67 2093.33 3051 3985 1704.33
4000 20505 19534.3 19862.7 8258.33 7448.33 7782.67 5920 5095 5490 4488.67 3814.33 4127.33 4505 3850 4133.33 3664.33 3163.33 3219 3131.33 2897.67 2639.67 2952 3124.67 2157.33 3135.33 4157 1721.33
4100 20989.7 19998.7 20373.7 8356.33 7509.67 7878.67 6031.33 5167 5565.67 4582 3911.33 4205 4588 3871.67 4212.67 3724.67 3215.67 3315 3197.33 2967.33 2696.67 3004.33 3229.33 2201 3257.33 4314.33 1758.67
4200 21536.3 20648.7 21046.7 8485.67 7629 8075.33 6100.33 5271.67 5717 4707.67 3970 4301.33 4712.67 3979 4307.67 3813.67 3282.33 3421 3294 3061.33 2788 3115 3368.33 2268.67 3357.67 4500.67 1820
4300 22102.3 21133.3 21470.7 8649.33 7707.33 8143 6202.33 5355.67 5786.33 4772.33 4077 4357 4774.33 4068.67 4396.33 3918 3379.33 3462 3371.33 3143.67 2836.67 3176.33 3473.33 2313.67 3483.33 4683.67 1860
4400 24883.3 21639.3 21960.7 8732 7807.33 8173 6347 5407.67 5836.67 4864.33 4119.67 4435 4864.67 4158 4394.67 3988 3436 3540.33 3468 3228.67 2883.33 3273.67 3584.67 2355.67 3623.33 4860.67 1904.67
4500 23197.3 22147.7 22497.3 8837 7908.67 8340 6422 5500.67 5955.33 4985.67 4186.33 4517 4967.67 4213.33 4513 4078.67 3516 3634 3507.33 3317.33 2962.33 3376.67 3709.33 2423.33 3728.33 5053.33 1953
4600 23748.3 22637.7 22904.3 8895 7925.67 8402.67 6459.33 5556.67 6036 5050.33 4247.33 4588.33 5028.67 4276 4610 4103.33 3606.33 3702.67 3599.33 3381.67 3002.33 3455.33 3817.33 2463 3847 5230.67 1985.33
